,0
0,0.011938626593949595
1,0.011973155303400812
2,0.011948188370849183
3,0.011978472282551127
4,0.011948086703423682
5,0.011938626659410829
6,0.011966673052771944
7,0.011960236621475608
8,0.011966254479624917
9,0.012002344737957511
10,0.011967482538363184
11,0.011948275310923183
12,0.012001205830486604
13,0.012001308533233931
14,0.012000464741998977
15,0.011991625532718587
16,0.011954517712133907
17,0.0119546062537248
18,0.011937141386018287
19,0.011937476194930978
20,0.01194232339729103
21,0.01194862640754789
22,0.011945174411171183
23,0.01195583323608104
24,0.012008408146458165
25,0.011955798988323121
26,0.011969880018329887
27,0.011977185762517951
28,0.011969324764753889
29,0.011983510074973442
30,0.011939563502442083
31,0.011939608086568446
32,0.011945639150253448
33,0.011945698788283268
34,0.01194169395829185
35,0.011941705849460547
36,0.011931332338249476
37,0.011895718035726466
38,0.01191392095333719
39,0.011913918937637635
40,0.011996716891230424
41,0.012002371522347946
42,0.01200999262688526
43,0.011986351954836015
44,0.012021409197228695
45,0.012010361961704236
46,0.01194912374753165
47,0.011969324576424027
48,0.012011952230326172
49,0.011969289118571952
50,0.011992183027120018
51,0.011734512344419166
52,0.01173454513365227
53,0.011746153878255963
54,0.011746156151608624
55,0.011525167781514079
56,0.011546127928189013
57,0.01150865880291175
58,0.011488174614377388
59,0.011508426109937242
60,0.011544818317349789
61,0.011433212164285823
62,0.011455355213499128
63,0.010911393850712091
64,0.010911406206047148
65,0.01138284680489571
66,0.011503882814539134
67,0.011539296702502382
68,0.011536810266563004
69,0.011536843680148692
70,0.011504575140195598
71,0.011465621893778715
72,0.011505317881151072
73,0.011228425374920362
74,0.011228411189380508
75,0.01132226280842723
76,0.011564446636278817
77,0.011577635274383229
78,0.011577702948494778
79,0.011490620674126923
80,0.011558574346170322
81,0.011490669328183432
82,0.011542621742616626
83,0.011542644446230913
84,0.011748767812441465
85,0.011748797083403451
86,0.011556266495342929
87,0.011558649637079784
88,0.011555559844736331
89,0.011479285274885925
90,0.011479329564063334
91,0.011525547940613815
92,0.01141804073044947
93,0.011525613835893863
94,0.011469845410048177
95,0.011473366683193514
96,0.011481151273103065
97,0.01147730279118649
98,0.011477303776819252
99,0.01147339151911801
100,0.0114644235738609
101,0.011464421323195789
102,0.011486541047311574
103,0.011492020617840907
104,0.011597236745887808
105,0.01154768054948213
106,0.011547651299094134
107,0.011639362777688296
108,0.011457510926909246
109,0.011457504704920837
110,0.011763930413467887
111,0.011320183745021393
112,0.011467949928227928
113,0.011464075418862322
114,0.011457923302640954
115,0.01145786687135923
116,0.011375032974879752
117,0.01143487886276057
118,0.011192308150836806
119,0.011192308686710551
120,0.011590797480558685
121,0.011590760792960852
122,0.01170229110400401
123,0.011702292555490051
124,0.011451168349474086
125,0.011459046435023275
126,0.011459064408885783
127,0.011473774058514212
128,0.011488947463040525
129,0.012070453651827585
130,0.011987092716664302
131,0.0120390962069662
132,0.01198520907415614
133,0.012085010021570579
134,0.011972226338365921
135,0.011958270064909803
136,0.011973753603136541
137,0.011994588456549585
138,0.012143568292230523
139,0.012125005997549778
140,0.012078686568241574
141,0.012088931187110404
142,0.012091599998170414
143,0.012091582793043579
144,0.012088896030989463
145,0.01212163521621891
146,0.012095067228243802
147,0.01212698712791933
148,0.01206868134917429
149,0.01206438177025032
150,0.0120796924675296
151,0.01207965514654344
152,0.012097658935750462
153,0.012097655696966067
154,0.012081600325132849
155,0.012093088276513259
156,0.012093188459079748
157,0.012100503765496082
158,0.012110386834261248
159,0.012097290138582358
160,0.011996203596227939
161,0.012018482953393337
162,0.012078502447820943
163,0.012078515472734825
164,0.012075365031236709
165,0.012057882376471582
166,0.012029193198662495
167,0.012101175075263993
168,0.012137582758965404
169,0.012014466571715135
170,0.011976107728161945
171,0.011976201192349243
172,0.012057669032269236
173,0.012143036829790468
174,0.012109803047017281
175,0.012109594476681678
176,0.012119588563153745
177,0.012144987799704871
178,0.012131436568177719
179,0.012125580205844581
180,0.012103105940111701
181,0.012143318969652466
182,0.012105427679749824
183,0.012138357802201589
184,0.01207721030812462
185,0.012120196157123604
186,0.012077413524953692
187,0.01211919673190994
188,0.012076976833930098
189,0.012102814700351414
190,0.012069358201473656
191,0.012022324015550007
192,0.012041491787485066
193,0.012103928213741507
194,0.012148321251291968
195,0.012183767607081307
196,0.012142481307126068
197,0.01208251508216202
198,0.012082513315151606
199,0.012183807675846344
200,0.012144162026159672
201,0.012115815233283311
202,0.012156001356537471
203,0.012184307309782693
204,0.012164933598195357
205,0.01216488086986937
206,0.01213399469295106
207,0.012143632137571796
208,0.012143707865536731
